"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","21,906.15","22,172.90","21,816.35","22,346.75","22,162.75","-","-184.00","-0.82","1,78,93,13,921","51,398.19","24,144.20","20,385.65","3.61","6.79"
"RELIANCE","1,321.20","1,327.60","1,311.00","1,350.20","1,319.00","-","-31.20","-2.31","1,29,41,542","1,706.24","1,611.80","1,195.15","-4.48","8.19"
"HDFCBANK","791.50","793.95","787.35","810.30","790.00","-","-20.30","-2.51","2,06,82,173","1,634.70","1,020.50","726.65","-3.32","-12.56"
"ADANIPOWER","172.00","184.40","170.36","175.81","183.82","-","8.01","4.56","6,60,33,180","1,189.13","184.40","101.00","25.24","77.10"
"ICICIBANK","1,304.90","1,327.40","1,296.70","1,321.90","1,326.90","-","5.00","0.38","78,39,640","1,026.93","1,500.00","1,187.60","5.72","1.14"
"ATHERENERG","863.05","921.95","855.40","863.05","916.50","-","53.45","6.19","1,05,15,866","943.87","921.95","288.15","30.09","-"
"BSE","3,201.00","3,309.20","3,200.60","3,281.20","3,294.40","-","13.20","0.40","27,78,763","910.07","3,330.00","1,860.67","17.75","75.04"
"OLAELEC","39.79","39.79","37.70","40.88","38.13","-","-2.75","-6.73","22,56,07,238","869.49","71.25","22.25","65.71","-23.84"
"LT","3,825.00","3,943.60","3,815.60","3,959.90","3,935.00","-","-24.90","-0.63","21,25,036","828.73","4,440.00","3,100.15","14.38","26.23"
"WAAREEENER","3,225.00","3,381.80","3,220.00","3,281.40","3,377.40","-","96.00","2.93","23,71,011","791.59","3,865.00","2,150.00","23.85","56.23"
"MARUTI","13,402.00","13,420.00","12,966.00","13,709.00","13,161.00","-","-548.00","-4.00","5,93,314","781.92","17,370.00","11,289.00","4.48","13.41"
"TATACHEM","689.90","773.70","676.15","689.90","732.20","-","42.30","6.13","1,03,82,943","771.14","1,026.65","580.30","9.15","-12.02"
"ZYDUSWELL","489.00","548.80","489.00","489.75","547.35","-","57.60","11.76","1,22,77,220","652.61","548.80","331.00","35.40","56.56"
"SBIN","1,042.00","1,047.85","1,030.00","1,066.70","1,047.40","-","-19.30","-1.81","62,48,565","649.48","1,234.70","746.00","-0.07","38.79"
"ETERNAL","234.99","242.64","234.53","240.23","239.93","-","-0.30","-0.12","2,50,44,730","597.34","368.45","212.60","11.15","10.37"
"ADANIENT","2,010.20","2,159.00","2,000.20","2,086.80","2,153.20","-","66.40","3.18","27,32,795","576.13","2,616.50","1,753.00","9.79","-4.47"
"MCX","2,650.00","2,730.00","2,629.00","2,669.40","2,724.70","-","55.30","2.07","21,24,713","572.17","2,730.00","1,052.00","9.07","150.43"
"INFY","1,272.00","1,289.00","1,265.70","1,292.50","1,274.70","-","-17.80","-1.38","43,14,104","549.57","1,728.00","1,215.10","2.05","-9.62"
"TATAPOWER","394.95","416.40","390.25","399.35","416.20","-","16.85","4.22","1,29,54,787","527.36","418.45","342.50","5.42","14.24"
"NTPCGREEN","97.00","105.30","96.25","97.17","105.28","-","8.11","8.35","4,88,12,266","502.91","117.64","84.00","7.34","9.98"
